

[0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 18, 18, 198, 324, 702, 954, 1332, 1584, 1962]
6.0
1962 x 1962 matrix
         66839812 function calls (66835249 primitive calls) in 97.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    615/1    0.012    0.000   97.994   97.994 {built-in method builtins.exec}
        1    0.000    0.000   97.994   97.994 f1Cfunc.py:6(<module>)
        1   11.303   11.303   96.775   96.775 SpinHamiltonianSuperoperator.py:8(SpinHamiltonianSuperoperatorDiag)
  1447308   11.851    0.000   59.635    0.000 SpinHamiltonianSuperoperator.py:91(<listcomp>)
  2894616   19.978    0.000   39.465    0.000 SpinHamiltonianSuperoperator.py:27(R_a)
  1447308    7.093    0.000   19.158    0.000 lil.py:326(__setitem__)
  1447308    2.984    0.000   10.805    0.000 lil.py:302(_set_intXint)
  8683848    9.580    0.000    9.580    0.000 {built-in method LSymBasisModule.w3jmatlabC}
4445305/4445298    4.485    0.000    7.088    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1447308    6.991    0.000    6.991    0.000 {built-in method scipy.sparse._csparsetools.lil_insert}
  2222640    2.291    0.000    6.191    0.000 <__array_function__ internals>:2(real)
  2222640    2.051    0.000    5.488    0.000 <__array_function__ internals>:2(imag)
  2894616    2.890    0.000    2.890    0.000 {built-in method LSymBasisModule.Ax_aC}
  2894666    2.028    0.000    2.028    0.000 {built-in method LSymBasisModule.dlkmC}
  1447346    2.011    0.000    2.011    0.000 {built-in method builtins.sum}
  1447308    1.396    0.000    1.847    0.000 common_defs.py:19(NormFacL)
  1447308    1.445    0.000    1.715    0.000 common_defs.py:17(NormFacK)
  4341945    1.705    0.000    1.705    0.000 common_defs.py:6(par)
  2222640    0.955    0.000    0.955    0.000 type_check.py:168(imag)
4354654/4354653    0.950    0.000    0.950    0.000 {built-in method builtins.isinstance}
  5311684    0.947    0.000    0.947    0.000 {built-in method builtins.abs}
  2222640    0.882    0.000    0.882    0.000 type_check.py:122(real)
  2894620    0.830    0.000    0.830    0.000 base.py:84(get_shape)
        5    0.000    0.000    0.767    0.153 <__array_function__ internals>:2(savetxt)
        5    0.538    0.108    0.767    0.153 npyio.py:1211(savetxt)
  2894621    0.722    0.000    0.722    0.000 {built-in method math.sqrt}
  2222640    0.520    0.000    0.520    0.000 type_check.py:118(_real_dispatcher)
  2222640    0.496    0.000    0.496    0.000 type_check.py:164(_imag_dispatcher)
1452161/1452046    0.313    0.000    0.313    0.000 {built-in method builtins.len}
   350/12    0.002    0.000    0.304    0.025 <frozen importlib._bootstrap>:966(_find_and_load)
   350/12    0.002    0.000    0.304    0.025 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   337/13    0.002    0.000    0.302    0.023 <frozen importlib._bootstrap>:651(_load_unlocked)
   266/13    0.001    0.000    0.302    0.023 <frozen importlib._bootstrap_external>:672(exec_module)
   488/13    0.000    0.000    0.301    0.023 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   363/32    0.001    0.000    0.242    0.008 {built-in method builtins.__import__}
 1549/510    0.002    0.000    0.230    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.182    0.182 __init__.py:106(<module>)
      128    0.180    0.001    0.180    0.001 {built-in method numpy.array}
       18    0.000    0.000    0.180    0.010 _asarray.py:16(asarray)
        1    0.127    0.127    0.139    0.139 indices.py:17(indgen)
        2    0.000    0.000    0.105    0.053 __init__.py:7(<module>)
        1    0.078    0.078    0.079    0.079 lil.py:452(tocsr)
      266    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.002    0.002    0.050    0.050 __init__.py:58(<module>)
    82404    0.043    0.000    0.043    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.042    0.042 __init__.py:13(<module>)
        1    0.000    0.000    0.036    0.036 __init__.py:72(<module>)
      316    0.001    0.000    0.036    0.000 overrides.py:166(decorator)
      266    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        1    0.000    0.000    0.034    0.034 __init__.py:109(<module>)
  337/334    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      266    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
      346    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.000    0.000    0.030    0.030 _basic.py:1(<module>)
  559/556    0.012    0.000    0.029    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.028    0.028 uarray.py:8(<module>)
        1    0.000    0.000    0.027    0.027 __init__.py:112(<module>)
      327    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        2    0.000    0.000    0.027    0.014 _backend.py:1(<module>)
      327    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.026    0.026 _internal.py:6(<module>)
        6    0.000    0.000    0.026    0.004 __init__.py:1(<module>)
      185    0.001    0.000    0.024    0.000 re.py:286(_compile)
        1    0.000    0.000    0.024    0.024 __init__.py:219(<module>)
        1    0.000    0.000    0.024    0.024 platform.py:10(<module>)
       40    0.000    0.000    0.023    0.001 sre_compile.py:557(compile)
      500    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
